institution_id,location_id,enrollment,admission_rate,tuition_in_state,tuition_out_state,median_earnings_10yr,median_earnings_6yr,graduation_rate,median_debt,grad_median_debt,pct_pell_grant,pct_federal_loan,retention_rate,pct_female,pct_first_gen,poverty_rate,unemp_rate,pct_white,pct_black,pct_hispanic,pct_asian
229540,44,2351.0,,2976.0,5328.0,42382.0,34679.0,0.2927,7256.0,10500.0,0.365,0.0713,,0.6947712418,0.5084067254,12.6400003433227,3.13000011444091,74.2699966430664,7.17999982833862,37.1899986267089,1.04999995231628
229780,44,2041.0,0.5596,23782.0,23782.0,51838.0,44159.0,0.1929,15467.0,23106.0,0.457,0.4995,0.4453,0.5776031434,0.4545973729,10.9600000381469,3.44000005722045,72.9800033569336,6.90000009536743,29.7199993133544,2.4300000667572
229799,44,5094.0,,5250.0,10860.0,42397.0,36014.0,0.3462,6500.0,9948.0,0.2553,0.1526,,0.7039443155,0.4874264312,8.14999961853027,3.06999993324279,87.7600021362304,4.25,10.9099998474121,0.79000002145767
229814,44,6917.0,0.9868,9101.0,10996.0,50741.0,44399.0,0.5504,12620.0,19500.0,0.4111,0.3632,0.6963,0.6003377428,0.39375,10.5299997329711,3.38000011444091,80.1100006103515,4.63000011444091,22.9400005340576,1.36000001430511
229832,44,599.0,,3300.0,6150.0,42508.0,35926.0,0.5299,5500.0,7515.0,0.0992,0.0146,,0.52248394,0.4800995025,13.5100002288818,3.05999994277954,80.1999969482422,5.42999982833862,27.6700000762939,0.51999998092651
229841,44,4585.0,,3192.0,5904.0,44960.0,36405.0,0.2727,5500.0,7703.0,0.2738,0.1625,,0.5779193206,0.426873385,10.4700002670288,3.73000001907348,64.0500030517578,14.7100000381469,29.1000003814697,5.75
229887,44,712.0,,12500.0,12500.0,33159.0,28078.0,0.2424,16833.0,24989.0,0.7893,0.706,0.4958,0.6262740657,0.4155672823,17.329999923706,5.44000005722045,49.2099990844726,42.0699996948242,10.9700002670288,1.46000003814697
230038,45,32952.0,0.6778,6688.0,6688.0,75790.0,58450.0,0.8098,8310.0,11069.0,0.321,0.1078,0.9097,0.4795278495,0.1379568885,8.03999996185302,3.34999990463256,87.2200012207031,2.04999995231628,9.43000030517578,2.58999991416931
230047,12,2889.0,0.4696,6630.0,6630.0,52064.0,39316.0,0.5264,5500.0,9413.0,0.151,0.0729,0.7354,0.6020558003,0.191904048,8.65999984741211,3.66000008583068,58.4599990844726,1.80999994277954,8.5600004196167,9.72999954223632
230171,45,8552.0,,6306.0,18246.0,44570.0,37959.0,0.3839,7191.0,15000.0,0.2208,0.1522,0.6791,0.5605573419,0.3900029061,7.44000005722046,3.29999995231628,90.370002746582,0.89999997615814,6.57999992370605,1.10000002384185
230366,45,351.0,,16548.0,16548.0,37518.0,36393.0,0.48,20000.0,43021.0,0.308,0.384,1.0,0.7718446602,0.5258126195,6.92000007629394,3.67000007629394,85.5100021362304,1.40999996662139,12.619999885559,2.32999992370605
230597,45,3549.0,,4338.0,14288.0,41022.0,34587.0,0.4582,4500.0,7000.0,0.2267,0.1201,,0.532627866,0.3255159475,7.73999977111816,3.49000000953674,91.0699996948242,0.79000002145767,6.76999998092651,1.22000002861022
230603,45,9289.0,0.8179,6962.0,21192.0,50296.0,41147.0,0.6067,7751.0,12500.0,0.2488,0.1746,0.7552,0.5524714829,0.3208985158,9.11999988555908,3.42000007629394,90.8099975585937,0.81999999284744,6.25,1.13999998569488
